d w z t
53 13 2 0
53 4 2 0
53 43 2 0
53 20 2 0
53 38 2 0
51 43 0 0
51 41 0 1
151 43 0 0
190 9 0 1
190 31 4 0
190 43 4 0
190 31 4 0
124 9 0 0
124 19 0 0
124 43 0 0
124 3 0 0
12 43 2 0
12 7 2 0
12 7 2 0
12 15 2 0
12 37 2 0
12 2 0 1
12 22 2 0
148 22 2 1
148 7 2 1
148 43 0 0
148 9 0 0
148 13 2 1
131 43 0 1
131 25 0 0
131 8 0 0
131 11 0 1
131 8 0 0
175 25 0 0
175 8 0 0
175 8 0 0
175 8 0 0
175 43 0 0
175 8 0 0
175 18 0 0
169 9 0 0
169 34 2 1
169 43 1 2
48 43 2 0
49 43 0 0
49 30 1 1
31 30 1 0
31 43 1 0
31 21 1 0
31 2 1 0
31 3 1 0
31 10 1 0
31 38 1 0
70 43 0 0
179 17 0 0
179 43 0 0
93 21 1 2
93 43 0 1
93 27 0 1
93 9 0 1
93 25 0 0
93 19 0 1
32 3 2 0
32 43 2 0
32 7 2 1
32 36 2 1
32 15 2 1
203 28 0 0
203 43 1 1
203 24 0 0
35 5 3 0
35 21 3 0
35 21 3 1
35 13 0 2
35 4 3 3
35 19 0 2
35 43 3 3
33 36 2 0
33 43 2 1
155 9 0 0
155 43 0 0
155 25 0 0
133 43 0 2
133 42 1 0
133 3 1 0
133 24 1 0
133 12 1 1
133 2 1 1
133 9 1 1
133 10 1 1
43 26 3 1
43 9 0 0
43 8 0 0
43 14 3 1
43 14 3 1
43 43 3 1
34 43 0 0
34 11 0 0
34 9 0 0
202 43 0 0
202 28 0 1
100 43 0 0
100 28 0 0
100 24 0 0
119 4 0 1
119 4 1 0
119 12 1 0
119 43 0 1
119 27 0 1
119 42 1 0
119 9 1 0
119 3 0 1
119 41 0 1
60 5 0 0
60 43 0 0
60 28 0 0
60 6 0 0
7 32 2 0
7 29 2 1
7 18 2 2
7 39 2 0
7 10 2 1
7 22 2 0
7 39 2 0
7 34 2 0
7 43 2 1
10 43 0 0
10 9 0 0
10 12 1 1
10 9 1 1
41 16 2 1
41 14 3 0
41 6 3 0
41 43 3 0
41 16 3 0
41 33 3 0
41 6 3 0
90 23 1 0
90 43 1 0
125 1 1 0
125 43 0 1
125 42 1 0
125 12 1 0
97 27 0 0
97 17 0 0
97 43 2 1
97 17 0 0
97 24 0 0
118 42 1 0
118 23 1 0
118 43 1 0
118 12 1 0
118 9 1 1
118 34 2 2
111 29 2 1
111 26 2 1
111 5 0 0
111 43 0 0
111 9 0 0
57 21 1 0
57 23 1 0
57 2 1 0
57 23 1 0
57 23 1 1
57 19 1 0
57 43 0 2
59 43 0 0
59 28 0 1
20 2 1 0
20 3 1 0
20 42 1 0
20 2 1 0
20 2 1 0
20 12 1 0
20 43 2 1
20 9 1 0
62 24 3 0
62 43 3 0
62 35 3 0
62 6 3 0
62 6 3 0
62 35 3 0
62 35 3 0
62 6 3 0
158 22 2 0
158 4 2 0
158 34 2 0
158 26 2 0
158 7 2 0
158 20 2 0
158 9 0 1
158 39 2 0
158 20 2 2
158 43 2 0
92 43 0 0
92 9 0 0
185 43 0 0
185 9 0 0
185 5 0 0
135 15 2 1
135 3 2 0
135 43 2 1
135 7 2 1
135 36 2 0
200 17 0 0
200 43 0 0
200 24 0 0
200 27 0 0
200 17 0 0
178 31 5 0
178 43 0 1
54 4 3 0
54 37 2 1
54 33 3 0
54 43 0 2
145 27 0 0
145 28 0 0
145 6 0 0
145 8 0 0
145 6 3 1
145 43 0 0
145 19 0 0
104 8 0 1
104 43 2 0
104 29 2 0
104 3 2 0
104 8 0 2
104 15 2 0
165 35 3 1
165 6 3 0
165 35 3 1
165 24 0 2
165 6 3 0
165 43 3 1
165 35 3 0
165 6 3 1
39 23 1 0
39 30 1 0
39 23 1 0
39 43 1 0
39 30 1 0
39 3 1 0
39 2 1 0
94 18 0 0
94 43 0 0
91 25 0 0
91 43 0 1
91 41 0 0
27 30 1 0
27 34 2 1
27 2 1 0
27 30 1 2
27 43 1 0
182 43 1 0
182 34 1 0
182 42 1 0
182 12 1 0
182 39 4 1
52 9 0 0
52 43 0 0
52 25 0 0
2 43 3 0
183 43 0 0
183 18 1 1
126 2 1 0
126 18 1 0
126 3 1 0
126 3 1 0
126 11 1 0
126 43 1 0
126 3 1 0
80 43 2 0
80 18 2 1
61 2 0 0
61 17 0 2
61 8 0 2
61 39 4 1
61 9 0 2
61 8 0 2
61 24 0 2
61 8 0 2
61 43 0 2
101 34 2 0
101 37 2 0
101 43 2 0
