time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00129 0005 00397 -3763.19219 0.10000 1.00000 0 0 0
    0.00 00130 0005 00386 -3750.77027 0.10000 1.00000 0 0 0
    0.00 00131 0005 00392 -3702.44616 0.10000 1.00000 0 0 0
    0.00 00132 0005 00403 -3721.20856 0.10000 1.00000 0 0 0
    0.00 00133 0005 00386 -3702.76171 0.10000 1.00000 0 0 0
    0.00 00134 0006 00388 -3745.12013 0.10000 1.00000 0 0 0
    0.00 00135 0006 00394 -3760.83985 0.10000 1.00000 0 0 0
    0.00 00136 0006 00386 -3766.51944 0.10000 1.00000 0 0 0
    0.00 00137 0007 00399 -3844.69850 0.10000 1.00000 0 0 0
    0.00 00138 0007 00376 -3792.50223 0.10000 1.00000 0 0 0
    0.00 00139 0006 00393 -3804.18170 0.10000 1.00000 0 0 0
    0.00 00140 0006 00377 -3762.28548 0.10000 1.00000 0 0 0
    0.00 00141 0006 00392 -3756.79908 0.10000 1.00000 0 0 0
    0.00 00142 0006 00401 -3782.52016 0.10000 1.00000 0 0 0
    0.00 00143 0006 00395 -3783.23262 0.10000 1.00000 0 0 0
    0.00 00144 0005 00377 -3771.23878 0.10000 1.00000 0 0 0
    0.00 00145 0005 00376 -3733.51695 0.10000 1.00000 0 0 0
    0.00 00146 0005 00388 -3755.68725 0.10000 1.00000 0 0 0
    0.00 00147 0006 00381 -3766.20345 0.10000 1.00000 0 0 0
    0.00 00148 0005 00372 -3728.89208 0.10000 1.00000 0 0 0
    0.00 00149 0005 00371 -3687.03049 0.10000 1.00000 0 0 0
    0.00 00150 0005 00395 -3754.53170 0.10000 1.00000 0 0 0
    0.00 00151 0005 00388 -3723.38295 0.10000 1.00000 0 0 0
    0.00 00152 0005 00389 -3742.01309 0.10000 1.00000 0 0 0
    0.00 00153 0006 00358 -3735.04985 0.10000 1.00000 0 0 0
    0.00 00154 0006 00354 -3724.50777 0.10000 1.00000 0 0 0
    0.00 00155 0006 00386 -3765.39119 0.10000 1.00000 0 0 0
    0.00 00156 0006 00415 -3838.03393 0.10000 1.00000 0 0 0
    0.00 00157 0005 00385 -3762.44726 0.10000 1.00000 0 0 0
    0.00 00158 0005 00373 -3710.12060 0.10000 1.00000 0 0 0
    0.00 00159 0005 00393 -3722.52018 0.10000 1.00000 0 0 0
    0.00 00160 0005 00383 -3716.96026 0.10000 1.00000 0 0 0
    0.00 00161 0005 00379 -3716.50133 0.10000 1.00000 0 0 0
    0.00 00162 0006 00371 -3760.56341 0.10000 1.00000 0 0 0
    0.00 00163 0005 00370 -3717.64263 0.10000 1.00000 0 0 0
    0.00 00164 0006 00351 -3642.72400 0.10000 1.00000 0 0 0
    0.00 00165 0006 00378 -3732.67295 0.10000 1.00000 0 0 0
    0.00 00166 0005 00378 -3681.66091 0.10000 1.00000 0 0 0
    0.00 00167 0005 00356 -3650.94254 0.10000 1.00000 0 0 0
    0.00 00168 0005 00365 -3672.02594 0.10000 1.00000 0 0 0
    0.00 00169 0005 00390 -3752.29513 0.10000 1.00000 0 0 0
    0.00 00170 0005 00377 -3721.00303 0.10000 1.00000 0 0 0
    0.00 00171 0005 00380 -3762.24735 0.10000 1.00000 0 0 0
    0.00 00172 0005 00393 -3753.93407 0.10000 1.00000 0 0 0
    0.00 00173 0005 00402 -3803.59072 0.10000 1.00000 0 0 0
    0.00 00174 0005 00389 -3738.22105 0.10000 1.00000 0 0 0
    0.00 00175 0005 00382 -3745.92523 0.10000 1.00000 0 0 0
    0.00 00176 0005 00376 -3725.31097 0.10000 1.00000 0 0 0
    0.00 00177 0005 00386 -3754.30310 0.10000 1.00000 0 0 0
    0.00 00178 0005 00384 -3729.53970 0.10000 1.00000 0 0 0
    0.00 00179 0005 00394 -3783.84873 0.10000 1.00000 0 0 0
    0.00 00180 0005 00379 -3733.08460 0.10000 1.00000 0 0 0
    0.00 00181 0005 00384 -3703.16169 0.10000 1.00000 0 0 0
    0.00 00182 0006 00370 -3724.26603 0.10000 1.00000 0 0 0
    0.00 00183 0005 00391 -3731.45040 0.10000 1.00000 0 0 0
    0.00 00184 0006 00371 -3706.49949 0.10000 1.00000 0 0 0
    0.00 00185 0005 00376 -3804.82649 0.10000 1.00000 0 0 0
    0.00 00186 0005 00392 -3770.54517 0.10000 1.00000 0 0 0
    0.00 00187 0005 00379 -3716.45559 0.10000 1.00000 0 0 0
    0.00 00188 0005 00390 -3746.04372 0.10000 1.00000 0 0 0
    0.00 00189 0005 00374 -3761.97253 0.10000 1.00000 0 0 0
    0.00 00190 0005 00392 -3736.27542 0.10000 1.00000 0 0 0
    0.00 00191 0005 00386 -3825.50519 0.10000 1.00000 0 0 0
    0.00 00192 0005 00384 -3808.29417 0.10000 1.00000 0 0 0
    0.00 00193 0005 00385 -3802.81218 0.10000 1.00000 0 0 0
    0.00 00194 0005 00396 -3841.16814 0.10000 1.00000 0 0 0
    0.00 00195 0005 00394 -3795.48676 0.10000 1.00000 0 0 0
    0.00 00196 0005 00381 -3736.79755 0.10000 1.00000 0 0 0
    0.00 00197 0005 00395 -3777.69517 0.10000 1.00000 0 0 0
    0.00 00198 0005 00383 -3765.65174 0.10000 1.00000 0 0 0
    0.00 00199 0005 00382 -3745.68513 0.10000 1.00000 0 0 0
    0.00 00200 0005 00390 -3793.00078 0.10000 1.00000 0 0 0
    0.00 00201 0005 00383 -3817.24591 0.10000 1.00000 0 0 0
    0.00 00202 0005 00388 -3823.53858 0.10000 1.00000 0 0 0
    0.00 00203 0005 00383 -3759.16506 0.10000 1.00000 0 0 0
    0.00 00204 0005 00375 -3711.85901 0.10000 1.00000 0 0 0
    0.00 00205 0005 00380 -3757.53950 0.10000 1.00000 0 0 0
    0.00 00206 0006 00369 -3710.22003 0.10000 1.00000 0 0 0
    0.00 00207 0005 00367 -3661.97021 0.10000 1.00000 0 0 0
    0.00 00208 0005 00390 -3699.70303 0.10000 1.00000 0 0 0
    0.00 00209 0005 00381 -3711.98455 0.10000 1.00000 0 0 0
    0.00 00210 0005 00398 -3769.44005 0.10000 1.00000 0 0 0
    0.00 00211 0005 00367 -3716.55311 0.10000 1.00000 0 0 0
    0.00 00212 0006 00374 -3748.69743 0.10000 1.00000 0 0 0
    0.00 00213 0005 00364 -3669.19594 0.10000 1.00000 0 0 0
    0.00 00214 0005 00378 -3740.03779 0.10000 1.00000 0 0 0
    0.00 00215 0005 00369 -3704.39302 0.10000 1.00000 0 0 0
    0.00 00216 0005 00367 -3669.62344 0.10000 1.00000 0 0 0
    0.00 00217 0005 00389 -3721.84604 0.10000 1.00000 0 0 0
    0.00 00218 0005 00384 -3753.76458 0.10000 1.00000 0 0 0
    0.00 00219 0006 00390 -3793.59224 0.10000 1.00000 0 0 0
    0.00 00220 0005 00385 -3727.18274 0.10000 1.00000 0 0 0
    0.00 00221 0005 00398 -3773.64150 0.10000 1.00000 0 0 0
    0.00 00222 0005 00387 -3794.42821 0.10000 1.00000 0 0 0
    0.00 00223 0005 00389 -3774.77373 0.10000 1.00000 0 0 0
    0.00 00224 0005 00365 -3717.37844 0.10000 1.00000 0 0 0
    0.00 00225 0005 00368 -3669.39577 0.10000 1.00000 0 0 0
    0.00 00226 0005 00383 -3735.07315 0.10000 1.00000 0 0 0
    0.00 00227 0005 00395 -3747.59589 0.10000 1.00000 0 0 0
    0.00 00228 0005 00394 -3795.16329 0.10000 1.00000 0 0 0
    0.00 00229 0005 00383 -3794.08543 0.10000 1.00000 0 0 0
    0.00 00230 0005 00399 -3810.63297 0.10000 1.00000 0 0 0
    0.00 00231 0005 00372 -3710.82353 0.10000 1.00000 0 0 0
    0.00 00232 0005 00381 -3726.43336 0.10000 1.00000 0 0 0
    0.00 00233 0005 00386 -3732.81850 0.10000 1.00000 0 0 0
    0.00 00234 0005 00373 -3715.65723 0.10000 1.00000 0 0 0
    0.00 00235 0005 00379 -3770.97336 0.10000 1.00000 0 0 0
    0.00 00236 0005 00362 -3728.04917 0.10000 1.00000 0 0 0
    0.00 00237 0005 00367 -3711.73053 0.10000 1.00000 0 0 0
    0.00 00238 0006 00376 -3712.17605 0.10000 1.00000 0 0 0
    0.00 00239 0005 00374 -3707.28634 0.10000 1.00000 0 0 0
    0.00 00240 0005 00383 -3705.05418 0.10000 1.00000 0 0 0
    0.00 00241 0005 00393 -3747.66811 0.10000 1.00000 0 0 0
    0.00 00242 0005 00359 -3692.01196 0.10000 1.00000 0 0 0
    0.00 00243 0005 00368 -3717.00871 0.10000 1.00000 0 0 0
    0.00 00244 0005 00403 -3765.70259 0.10000 1.00000 0 0 0
    0.00 00245 0005 00379 -3684.10290 0.10000 1.00000 0 0 0
